num_threads,l2_assoc,accel_clock_time,num_accels,l2_size,total_time (ns),total_accel_time (ns),total_energy (nJ),fu_energy (nJ),spad_energy (nJ),llc_leakage_energy (nJ),llc_dynamic_energy (nJ),total_area (uM^2),fu_area,mem_area,num_sp_multiplier,num_sp_adder,num_dp_multiplier,num_dp_adder,num_trig_unit,num_multiplier,num_adder,num_bit_wise,num_shifter,num_register
1,16,1,1,262144,779248,530475,27867.34,17211.32,2044.26,7927.91,683.85,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,4,1,131072,1426560,601032,10539.64,4261.04,811.62,4248.58,1218.39,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,2,1,131072,914992,388092,9846.71,3093.32,982.31,3378.99,2392.08,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,1,1,131072,658362,278797,13535.48,3289.02,903.86,4141.35,5201.26,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,4,1,262144,1567460,847472,24310.91,5682.48,1967.69,15947.02,713.72,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,4,1,131072,1424688,600472,12836.23,4255.73,919.26,5261.26,2399.98,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,2,1,262144,1045484,636478,12638.58,4525.44,1891.96,6015.78,205.4,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,4,1,262144,1567460,847516,35263.99,5682.66,2271.82,25849.92,1459.58,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,8,1,262144,2596640,1205608,54433.75,8016.11,2096.22,42822.75,1498.68,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,32,2,1,262144,1044840,636246,29618.28,8368.35,2576.77,17231.08,1442.07,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,8,1,262144,2600808,1204064,25284.01,8009.07,2095.66,14965.21,214.06,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,4,1,1,262144,779741,529435,10839.05,4298.8,1853.55,4486.68,200.03,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,8,1,524288,2596640,1205608,43715.26,8016.17,2096.22,33154.68,448.2,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,4,4,1,524288,1567460,847464,24966.29,5682.48,1967.68,17012.9,303.23,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,4,1,262144,1365532,599812,38259.4,4250.71,919.03,22519.81,10569.86,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,2,1,262144,848936,387286,17729.34,3087.62,842.76,8636.91,5162.07,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,4,1,262144,1370872,601140,24295.33,4260.41,919.5,13946.98,5168.44,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,2,1,524288,1044838,636238,23412.21,9046.14,2120.17,11458.42,787.47,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,4,1,524288,1567616,846600,28097.92,5679.1,1967.37,20015.79,435.66,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,8,1,524288,2596640,1205608,32509.42,1496.8,1717.66,28476.57,818.38,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,4,2,1,262144,851880,386370,10327.7,3082.08,842.43,4901.77,1501.43,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,2,1,524288,1044772,636182,20186.01,4522.92,1891.86,13339.96,431.27,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,1,1,524288,779249,530476,21745.71,4302.83,1853.92,14127.55,1461.41,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,1,1,262144,593225,276655,8447.37,2731.63,803.05,3413.45,1499.23,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,1,1,524288,779248,530455,16524.58,4302.75,1853.92,9949.67,418.24,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
