num_threads	l2_assoc	accel_clock_time	soc_interface	num_accels	l2_size	total_time (ns)	total_accel_time (ns)	total_energy (nJ)	fu_energy (nJ)	spad_energy (nJ)	llc_leakage_energy (nJ)	llc_dynamic_energy (nJ)	total_area (uM^2)	fu_area	mem_area	num_sp_multiplier	num_sp_adder	num_dp_multiplier	num_dp_adder	num_trig_unit	num_multiplier	num_adder	num_bit_wise	num_shifter	num_register
1	16	8	dma	1	131072	2601312.00	1206536.00	27190.39	8022.03	2096.55	16363.24	708.57	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	16	1	dma	1	131072	779858.00	529104.00	11711.50	4295.10	1853.43	4905.60	657.37	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	32	1	dma	1	131072	779314.00	529929.00	28188.94	17201.40	1853.73	7764.03	1369.78	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	4	2	dma	1	131072	1046344.00	636454.00	9693.16	4524.83	1891.96	3116.22	160.16	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	32	2	dma	1	131072	1047074.00	637334.00	18259.00	4530.32	1892.27	10431.63	1404.78	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	4	8	dma	1	131072	2596376.00	1205584.00	18011.48	8015.76	2096.21	7732.53	166.98	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	32	8	dma	1	131072	2597424.00	1205928.00	37459.73	8017.36	2096.33	25877.23	1468.81	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	32	4	dma	1	131072	1567620.00	846484.00	29882.05	10569.06	2271.08	15617.65	1424.26	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	4	1	dma	1	131072	783701.00	530113.00	9214.88	4301.20	2424.42	2334.02	155.24	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	16	2	acp	1	131072	911112.00	389356.00	14818.50	3100.90	773.64	5731.24	5212.72	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	32	4	acp	1	131072	1421908.00	600952.00	30191.55	4255.98	919.44	14165.97	10850.17	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	4	2	acp	1	131072	917600.00	386726.00	6693.34	1969.60	773.17	2732.80	1217.77	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	16	4	acp	1	131072	1427268.00	602500.00	19560.94	4562.86	811.89	8978.06	5208.13	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	8	8	dma	1	262144	2596640.00	1205608.00	23320.37	2004.07	1717.66	19223.83	374.80	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	4	4	dma	1	262144	1573824.00	845732.00	13839.51	2836.18	1739.45	9055.88	208.00	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	4	1	acp	1	131072	666706.00	278632.00	6747.85	2743.92	803.76	1985.58	1214.58	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	32	2	acp	1	131072	908666.00	387304.00	23835.82	3088.18	842.76	9052.72	10852.15	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	8	1	acp	1	131072	661114.00	279893.00	8390.99	2754.04	804.22	2441.44	2391.29	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	16	2	dma	1	262144	1044838.00	636242.00	17750.17	4523.16	1891.88	10629.97	705.15	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	16	8	acp	1	131072	2489152.00	1025192.00	28668.50	6972.89	795.76	15657.71	5242.14	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	8	4	dma	1	262144	1567616.00	846612.00	19616.46	5679.16	1967.38	11605.61	364.31	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	32	1	acp	1	131072	658616.00	277980.00	21641.35	2739.81	1501.75	6561.56	10838.23	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	4	8	acp	1	131072	2484896.00	1023792.00	11327.96	1634.32	1071.18	7400.52	1221.93	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	32	1	dma	1	262144	779248.00	530455.00	44743.05	27307.27	3186.24	12851.05	1398.50	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	8	2	dma	1	262144	1044838.00	636242.00	25924.80	15252.08	2576.77	7735.30	360.65	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	32	8	acp	1	131072	2486512.00	1025360.00	43724.87	6971.45	1071.75	24772.25	10909.43	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	16	8	dma	1	262144	2596640.00	1205608.00	29870.21	1002.01	1717.66	26417.70	732.84	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	8	1	dma	1	262144	779248.00	530452.00	16996.00	8452.30	2424.91	5769.05	349.75	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	8	8	acp	1	131072	2473832.00	1022080.00	19379.68	6952.03	887.18	9135.66	2404.80	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	16	1	dma	1	262144	779248.00	530475.00	27867.34	17211.32	2044.26	7927.91	683.85	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	4	4	acp	1	131072	1426560.00	601032.00	10539.64	4261.04	811.62	4248.58	1218.39	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	8	2	acp	1	131072	914992.00	388092.00	9846.71	3093.32	982.31	3378.99	2392.08	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	16	1	acp	1	131072	658362.00	278797.00	13535.48	3289.02	903.86	4141.35	5201.26	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	16	4	dma	1	262144	1567460.00	847472.00	24310.91	5682.48	1967.69	15947.02	713.72	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	8	4	acp	1	131072	1424688.00	600472.00	12836.23	4255.73	919.26	5261.26	2399.98	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	4	2	dma	1	262144	1045484.00	636478.00	12638.58	4525.44	1891.96	6015.78	205.40	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	32	4	dma	1	262144	1567460.00	847516.00	35263.99	5682.66	2271.82	25849.92	1459.58	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	32	8	dma	1	262144	2596640.00	1205608.00	54433.75	8016.11	2096.22	42822.75	1498.68	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	32	2	dma	1	262144	1044840.00	636246.00	29618.28	8368.35	2576.77	17231.08	1442.07	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	4	8	dma	1	262144	2600808.00	1204064.00	25284.01	8009.07	2095.66	14965.21	214.06	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	4	1	dma	1	262144	779741.00	529435.00	10839.05	4298.80	1853.55	4486.68	200.03	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	8	8	dma	1	524288	2596640.00	1205608.00	43715.26	8016.17	2096.22	33154.68	448.20	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	4	4	dma	1	524288	1567460.00	847464.00	24966.29	5682.48	1967.68	17012.90	303.23	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	32	4	acp	1	262144	1365532.00	599812.00	38259.40	4250.71	919.03	22519.81	10569.86	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	16	2	acp	1	262144	848936.00	387286.00	17729.34	3087.62	842.76	8636.91	5162.07	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	16	4	acp	1	262144	1370872.00	601140.00	24295.33	4260.41	919.50	13946.98	5168.44	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	16	2	dma	1	524288	1044838.00	636238.00	23412.21	9046.14	2120.17	11458.42	787.47	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	8	4	dma	1	524288	1567616.00	846600.00	28097.92	5679.10	1967.37	20015.79	435.66	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	16	8	dma	1	524288	2596640.00	1205608.00	32509.42	1496.80	1717.66	28476.57	818.38	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	4	2	acp	1	262144	851880.00	386370.00	10327.70	3082.08	842.43	4901.77	1501.43	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	8	2	dma	1	524288	1044772.00	636182.00	20186.01	4522.92	1891.86	13339.96	431.27	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	32	1	dma	1	524288	779249.00	530476.00	21745.71	4302.83	1853.92	14127.55	1461.41	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	4	1	acp	1	262144	593225.00	276655.00	8447.37	2731.63	803.05	3413.45	1499.23	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	8	1	dma	1	524288	779248.00	530455.00	16524.58	4302.75	1853.92	9949.67	418.24	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	32	2	acp	1	262144	846696.00	387068.00	28437.19	3086.53	842.68	13963.37	10544.61	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	8	1	acp	1	262144	591399.00	276904.00	10557.05	2732.84	803.14	4378.33	2642.73	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	16	1	dma	1	524288	779248.00	530478.00	25896.61	14162.21	2424.94	8545.78	763.68	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	16	4	dma	1	524288	1567616.00	846604.00	25633.51	5679.08	1967.37	17191.57	795.48	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	16	8	acp	1	262144	2442624.00	1023856.00	38068.86	6960.52	1071.21	24850.77	5186.36	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	8	8	acp	1	262144	2436856.00	1022088.00	28721.03	6952.78	1070.57	18040.90	2656.79	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	32	4	dma	1	524288	1567460.00	847464.00	37592.99	5682.49	1967.68	28417.58	1525.24	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
