cycle_time	cache_size	cache_assoc	cache_hit_latency	tlb_hit_latency	tlb_entries	l2cache_size	cycle	avg_power	fu_power	avg_fu_dynamic_power	avg_fu_leakage_power	avg_mem_power	avg_mem_dynamic_power	avg_mem_leakage_power	total_area	fu_area	mem_area	num_sp_multiplier	num_sp_adder	num_dp_multiplier	num_dp_adder	num_trig_unit	num_multiplier	num_adder	num_bit_wise	num_shifter	num_register
4	65536	1	2	1	2	524288	459589	33.0634	21.4956	19.875	1.62058	11.5678	7.48982	4.07797	1034140.0	182476.0	851663.0	0	0	8	8	0	0	0	0	9	49
2	131072	1	4	4	2	131072	415005	80.3339	50.7096	48.6505	2.05917	29.6243	21.0457	8.57863	2137560.0	205903.0	1931650.0	0	0	8	8	0	0	0	0	9	53
4	16384	1	4	2	16	131072	431858	27.6098	22.6307	21.0101	1.62058	4.97911	3.77136	1.20775	417002.0	182476.0	234527.0	0	0	8	8	0	0	0	0	9	49
4	32768	2	4	1	16	524288	402147	32.3264	24.3535	22.733	1.62058	7.97288	5.72454	2.24834	637837.0	182476.0	455361.0	0	0	8	8	0	0	0	0	9	49
2	32768	16	1	4	1	524288	642271	68.6736	33.3726	31.3324	2.04024	35.3009	31.4961	3.80483	1066270.0	204371.0	861903.0	0	0	8	8	0	0	0	0	9	45
4	32768	2	4	4	2	262144	496444	25.4972	20.0778	18.4572	1.62058	5.4194	3.17106	2.24834	637837.0	182476.0	455361.0	0	0	8	8	0	0	0	0	9	49
2	16384	1	2	4	16	262144	499369	49.7935	42.0725	40.0228	2.0497	7.72097	6.51323	1.20775	439664.0	205137.0	234527.0	0	0	8	8	0	0	0	0	9	49
4	131072	16	4	2	8	524288	338153	87.834	28.6919	27.0831	1.60875	59.1421	49.6375	9.50465	2185520.0	181519.0	2004000.0	0	0	8	8	0	0	0	0	9	44
1	131072	8	4	1	2	262144	426289	246.923	122.077	118.667	3.41022	124.846	116.058	8.78763	2262540.0	269052.0	1993480.0	0	0	8	8	0	0	0	0	9	50
1	32768	8	2	4	2	262144	673013	97.7974	78.5886	75.1878	3.40076	19.2088	16.6703	2.53852	681958.0	268286.0	413672.0	0	0	8	8	0	0	0	0	9	46
2	32768	4	4	1	16	524288	467783	58.0721	44.9343	42.8846	2.0497	13.1377	10.8276	2.31017	660325.0	205137.0	455188.0	0	0	8	8	0	0	0	0	9	49
2	65536	4	4	4	8	262144	386882	78.3701	54.1627	52.113	2.0497	24.2074	19.9183	4.28904	1089970.0	205137.0	884833.0	0	0	8	8	0	0	0	0	9	49
2	16384	4	4	2	4	131072	498252	50.7878	42.0761	40.0264	2.0497	8.71177	7.419	1.29277	439580.0	205137.0	234443.0	0	0	8	8	0	0	0	0	9	49
2	131072	4	1	1	16	262144	308801	141.982	66.8321	64.7918	2.04024	75.15	66.4009	8.7491	2488320.0	204371.0	2283950.0	0	0	8	8	0	0	0	0	9	45
4	65536	1	1	2	8	524288	386072	41.5196	25.2028	23.5917	1.61112	16.3169	12.2389	4.07797	1033370.0	181710.0	851663.0	0	0	8	8	0	0	0	0	9	45
2	32768	16	4	1	1	131072	663489	65.8118	32.3613	30.3211	2.04024	33.4505	29.6457	3.80483	1066270.0	204371.0	861903.0	0	0	8	8	0	0	0	0	9	45
