cycle_time	cache_size	cache_assoc	cache_hit_latency	tlb_hit_latency	tlb_entries	l2cache_size	cycle	avg_power	fu_power	avg_fu_dynamic_power	avg_fu_leakage_power	avg_mem_power	avg_mem_dynamic_power	avg_mem_leakage_power	total_area	fu_area	mem_area	num_sp_multiplier	num_sp_adder	num_dp_multiplier	num_dp_adder	num_trig_unit	num_multiplier	num_adder	num_bit_wise	num_shifter	num_register
4	65536	2	4	4	8	1048576	62502	14.517	2.18968	1.34248	0.8472	12.3273	8.20113	4.12621	928903.0	76400.8	852502.0	0	0	0	0	0	8	84	30	31	79
1	131072	4	4	2	16	262144	81180	60.3073	6.74039	5.66822	1.07217	53.5669	44.8178	8.7491	2382670.0	98723.6	2283950.0	0	0	0	0	0	8	84	30	31	80
4	16384	16	4	4	4	262144	62990	29.7938	2.17934	1.33214	0.8472	27.6144	24.655	2.95945	754887.0	76400.8	678486.0	0	0	0	0	0	8	84	30	31	79
1	16384	4	4	2	4	1048576	99777	17.187	5.66696	4.61136	1.0556	11.52	10.2272	1.29277	331827.0	97383.7	234443.0	0	0	0	0	0	8	84	30	31	73
1	32768	16	1	1	4	524288	90707	82.9886	6.13831	5.07324	1.06507	76.8503	73.0455	3.80483	960052.0	98149.3	861903.0	0	0	0	0	0	8	84	30	31	77
2	32768	1	2	2	4	524288	116018	9.97921	2.45104	1.6039	0.847147	7.52816	5.34015	2.18802	614908.0	80737.7	534170.0	0	0	0	0	0	8	84	30	31	80
4	32768	2	1	4	2	1048576	76028	8.47546	1.95421	1.10228	0.851933	6.52125	4.27291	2.24834	532145.0	76783.7	455361.0	0	0	0	0	0	8	84	30	31	81
2	16384	8	1	2	4	131072	62781	18.7977	3.8019	2.96422	0.837681	14.9958	13.4181	1.57769	304130.0	79972.1	224158.0	0	0	0	0	0	8	84	30	31	76
2	65536	4	2	2	2	131072	84375	20.4081	3.04616	2.20374	0.842414	17.3619	13.0729	4.28904	965188.0	80354.9	884833.0	0	0	0	0	0	8	84	30	31	78
4	131072	2	2	2	4	524288	48372	50.3528	2.58006	1.73522	0.844834	47.7727	39.489	8.2837	2023790.0	76209.4	1947580.0	0	0	0	0	0	8	84	30	31	78
2	16384	8	2	4	16	524288	68536	16.8677	3.55112	2.71108	0.840047	13.3165	11.7389	1.57769	304321.0	80163.5	224158.0	0	0	0	0	0	8	84	30	31	77
2	32768	4	4	1	16	262144	68850	16.0998	3.54667	2.69952	0.847147	12.5532	10.243	2.31017	535926.0	80737.7	455188.0	0	0	0	0	0	8	84	30	31	80
1	65536	8	4	1	2	1048576	110675	31.9568	5.22453	4.15946	1.06507	26.7322	22.209	4.52326	982795.0	98149.3	884645.0	0	0	0	0	0	8	84	30	31	77
2	16384	8	1	2	2	524288	82603	14.4219	3.09103	2.25098	0.840047	11.3308	9.75315	1.57769	304321.0	80163.5	224158.0	0	0	0	0	0	8	84	30	31	77
1	32768	2	2	2	4	131072	92814	22.1667	6.00587	4.95737	1.0485	16.1608	13.9125	2.24834	552171.0	96809.5	455361.0	0	0	0	0	0	8	84	30	31	70
1	65536	4	1	4	2	131072	108756	29.9686	5.29174	4.23141	1.06033	24.6768	20.3878	4.28904	982600.0	97766.5	884833.0	0	0	0	0	0	8	84	30	31	75
4	16384	4	1	4	8	1048576	55388	8.47855	2.36229	1.51746	0.844834	6.11625	4.82349	1.29277	310653.0	76209.4	234443.0	0	0	0	0	0	8	84	30	31	78
1	16384	16	1	1	4	262144	90458	77.8734	6.15228	5.08721	1.06507	71.7212	68.7617	2.95945	776636.0	98149.3	678486.0	0	0	0	0	0	8	84	30	31	77
4	131072	2	1	1	8	524288	43282	54.9693	2.7772	1.93946	0.837734	52.1921	43.9084	8.2837	2023220.0	75635.2	1947580.0	0	0	0	0	0	8	84	30	31	75
2	16384	1	1	2	4	1048576	114019	7.77938	2.47941	1.63226	0.847147	5.29997	4.09223	1.20775	315265.0	80737.7	234527.0	0	0	0	0	0	8	84	30	31	80
2	32768	4	4	2	4	131072	70841	15.693	3.47048	2.62334	0.847147	12.2225	9.91233	2.31017	535926.0	80737.7	455188.0	0	0	0	0	0	8	84	30	31	80
2	65536	2	4	2	8	1048576	69187	22.452	3.53324	2.68609	0.847147	18.9187	14.7925	4.12621	933240.0	80737.7	852502.0	0	0	0	0	0	8	84	30	31	80
1	16384	4	1	2	1	1048576	137161	13.147	4.41773	3.3645	1.05323	8.72923	7.43647	1.29277	331636.0	97192.3	234443.0	0	0	0	0	0	8	84	30	31	72
1	131072	4	1	1	4	131072	69421	68.892	7.69585	6.62842	1.06743	61.1961	52.447	8.7491	2382290.0	98340.7	2283950.0	0	0	0	0	0	8	84	30	31	78
4	16384	4	1	2	8	262144	51405	8.96279	2.47989	1.63506	0.844834	6.4829	5.19013	1.29277	310653.0	76209.4	234443.0	0	0	0	0	0	8	84	30	31	78
4	131072	4	1	4	1	131072	108834	18.716	1.61026	0.770157	0.840101	17.1057	8.35661	8.7491	2359770.0	75826.6	2283950.0	0	0	0	0	0	8	84	30	31	76
2	16384	1	1	2	1	262144	167310	5.86644	1.95142	1.11373	0.837681	3.91502	2.70728	1.20775	314499.0	79972.1	234527.0	0	0	0	0	0	8	84	30	31	76
1	131072	4	4	4	8	131072	84003	58.5956	6.54934	5.47718	1.07217	52.0462	43.2971	8.7491	2382670.0	98723.6	2283950.0	0	0	0	0	0	8	84	30	31	80
4	65536	4	4	2	4	131072	59053	15.8425	2.26805	1.42085	0.8472	13.5745	9.28542	4.28904	961234.0	76400.8	884833.0	0	0	0	0	0	8	84	30	31	79
2	131072	2	4	2	16	262144	61962	73.1923	3.84411	2.99933	0.84478	69.3482	61.0645	8.2837	2028130.0	80546.3	1947580.0	0	0	0	0	0	8	84	30	31	79
1	32768	4	1	1	1	1048576	130515	17.6666	4.58811	3.53488	1.05323	13.0785	10.7683	2.31017	552380.0	97192.3	455188.0	0	0	0	0	0	8	84	30	31	72
2	131072	8	1	2	16	1048576	53337	94.7589	4.33627	3.48912	0.847147	90.4226	81.635	8.78763	2074220.0	80737.7	1993480.0	0	0	0	0	0	8	84	30	31	80
4	65536	4	2	1	2	1048576	74502	13.7425	1.96175	1.12638	0.835368	11.7808	7.49175	4.28904	960277.0	75443.8	884833.0	0	0	0	0	0	8	84	30	31	74
2	131072	2	2	4	1	262144	113749	44.089	2.46717	1.63659	0.830581	41.6219	33.3382	8.2837	2026980.0	79397.9	1947580.0	0	0	0	0	0	8	84	30	31	73
1	131072	2	2	1	4	262144	73333	119.188	7.33489	6.27456	1.06033	111.853	103.57	8.2837	2045350.0	97766.5	1947580.0	0	0	0	0	0	8	84	30	31	75
1	16384	2	1	1	16	1048576	91240	17.6932	6.10858	5.04352	1.06507	11.5846	10.3536	1.23093	332771.0	98149.3	234621.0	0	0	0	0	0	8	84	30	31	77
2	131072	16	1	1	16	262144	52136	100.764	4.41207	3.56492	0.847147	96.3519	86.8473	9.50465	2084740.0	80737.7	2004000.0	0	0	0	0	0	8	84	30	31	80
