cycle_time,pipelining,cache_size,cache_assoc,cache_hit_latency,cache_line_sz,cache_queue_size,tlb_hit_latency,tlb_miss_latency,tlb_entries,tlb_max_outstanding_walks,tlb_assoc,tlb_bandwidth,l2cache_size,pipelined_dma,ignore_cache_flush,cycle,avg_power,fu_power,avg_fu_dynamic_power,avg_fu_leakage_power,avg_mem_power,avg_mem_dynamic_power,avg_mem_leakage_power,total_area,fu_area,mem_area,num_sp_multiplier,num_sp_adder,num_dp_multiplier,num_dp_adder,num_trig_unit,num_multiplier,num_adder,num_bit_wise,num_shifter,num_register
5,1,65536,2,2,64,32,1,2,8,8,1,2,262144,1,0,23403,16.3017,5.4315,2.73869,2.69281,10.8702,7.963319999999999,2.90688,609214.0,223008.0,386206.0,0,0,0,0,0,4,84,30,31,940
4,1,65536,8,3,32,32,3,8,64,4,4,2,1048576,0,0,31119,21.1952,5.40695,2.71158,2.69536,15.7883,12.5084,3.27989,623478.0,223106.0,400372.0,0,0,0,0,0,4,84,30,31,940
2,0,65536,1,4,32,64,3,1,16,8,4,2,262144,0,1,126823,9.98317,2.07242,1.46112,0.611304,7.91074,4.84127,3.06948,444519.0,56741.4,387777.0,0,0,0,0,0,4,84,30,31,60
2,1,32768,16,2,64,16,2,16,8,4,1,2,262144,1,1,27688,35.6271,9.3619,6.67518,2.68672,26.2652,24.2301,2.03503,477925.0,224604.0,253320.0,0,0,0,0,0,4,84,30,31,937
5,1,32768,8,2,32,16,2,2,32,8,1,2,131072,0,0,30772,14.7225,4.81596,2.11842,2.69755,9.90651,8.15179,1.75472,425179.0,223390.0,201789.0,0,0,0,0,0,4,84,30,31,942
1,1,131072,2,2,64,128,1,16,16,8,4,2,262144,0,0,20754,94.8762,24.8591,22.0679,2.79118,70.0172,64.3426,5.6745800000000015,958620.0,237544.0,721076.0,0,0,0,0,0,4,84,30,31,936
2,1,16384,1,1,64,128,3,16,16,8,2,1,524288,0,0,35534,15.1942,7.8895300000000015,5.3230900000000005,2.56644,7.30466,6.654839999999999,0.649817,264900.0,212415.0,52485.5,0,0,0,0,0,2,84,30,31,927
1,0,131072,1,1,64,128,4,8,8,8,1,2,1048576,0,1,58291,36.9481,8.60482,7.84173,0.7630899999999999,28.3433,22.6842,5.65909,796303.0,73509.6,722793.0,0,0,0,0,0,4,84,30,31,79
4,1,65536,16,2,64,64,4,8,16,8,1,2,524288,1,1,25734,31.8878,5.92902,3.2383900000000003,2.69063,25.9587,22.388,3.57077,734470.0,222723.0,511747.0,0,0,0,0,0,4,84,30,31,938
3,0,65536,4,1,32,32,3,16,16,4,1,2,262144,0,0,83626,10.459,1.95792,1.35091,0.60701,8.50103,5.3244,3.17663,539897.0,56087.9,483809.0,0,0,0,0,0,4,84,30,31,60
1,0,131072,1,4,64,128,2,16,32,4,4,2,262144,0,1,45090,45.9057,10.9037,10.1406,0.7630899999999999,35.001999999999995,29.3429,5.65909,796303.0,73509.6,722793.0,0,0,0,0,0,4,84,30,31,79
2,0,32768,2,3,32,16,1,16,8,8,8,2,131072,1,0,70428,12.0609,3.24167,2.62327,0.618404,8.81927,7.1809699999999985,1.63829,331482.0,57315.7,274166.0,0,0,0,0,0,4,84,30,31,63
4,0,65536,2,4,32,64,4,4,8,4,2,1,524288,1,1,73806,7.522489999999999,1.62661,1.1558,0.470813,5.89588,3.27287,2.623,230187.0,41792.9,188394.0,0,0,0,0,0,2,84,30,31,41
